candidate_id,project,file,start_line,end_line,candidate_type,dominant_issue,complexity_proxy,request_parameters,session_keys,database_tables,dom_selectors,forms,allowed_transformations,oracle_status
phpbb-C0038,phpbb,tests/functional/extension_module_test.php,43,115,sql_data_access,SQL/Data Access Region,1,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0039,phpbb,tests/functional/feed_test.php,1,1510,sql_data_access,SQL/Data Access Region,67,,,phpbb_attachments;phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0040,phpbb,tests/functional/feed_test.php,1013,1112,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0041,phpbb,tests/functional/feed_test.php,1112,1211,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0042,phpbb,tests/functional/feed_test.php,1311,1368,long_method_or_region,Long or Complex Region,12,,,,,,Extract Method,pending
phpbb-C0043,phpbb,tests/functional/feed_test.php,1368,1443,long_method_or_region,Long or Complex Region,17,,,,,,Extract Method,pending
phpbb-C0044,phpbb,tests/functional/feed_test.php,1443,1511,sql_data_access,SQL/Data Access Region,12,,,phpbb_attachments;phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0045,phpbb,tests/functional/posting_test.php,1,308,mixed_php_html,Mixed PHP/HTML,25,,,,.postlink;.text-strong,,Separate PHP Logic from Markup;Extract View Helper,pending
phpbb-C0046,phpbb,tests/functional/prune_shadow_topic_test.php,1,211,sql_data_access,SQL/Data Access Region,17,,,phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0047,phpbb,tests/functional/prune_shadow_topic_test.php,159,212,sql_data_access,SQL/Data Access Region,10,,,phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0048,phpbb,tests/functional/user_password_reset_test.php,1,169,sql_data_access,SQL/Data Access Region,12,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0049,phpbb,tests/functional/viewforum_paging_test.php,1,256,sql_data_access,SQL/Data Access Region,18,,,phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0050,phpbb,tests/functional/viewforum_paging_test.php,204,257,sql_data_access,SQL/Data Access Region,10,,,phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0051,phpbb,tests/functional/visibility_disapprove_test.php,1,323,sql_data_access,SQL/Data Access Region,22,,,phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0052,phpbb,tests/functional/visibility_disapprove_test.php,271,324,sql_data_access,SQL/Data Access Region,10,,,phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0053,phpbb,tests/functional/visibility_reapprove_test.php,1,419,sql_data_access,SQL/Data Access Region,27,,,phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0054,phpbb,tests/functional/visibility_reapprove_test.php,367,420,sql_data_access,SQL/Data Access Region,10,,,phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0055,phpbb,tests/functional/visibility_softdelete_test.php,1,841,sql_data_access,SQL/Data Access Region,31,,,phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0056,phpbb,tests/functional/visibility_softdelete_test.php,789,842,sql_data_access,SQL/Data Access Region,10,,,phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0057,phpbb,tests/functions/build_url_test.php,37,81,long_method_or_region,Long or Complex Region,13,,,,,,Extract Method,pending
phpbb-C0058,phpbb,tests/functions/make_clickable_email_test.php,29,150,long_method_or_region,Long or Complex Region,5,,,,,,Extract Method,pending
phpbb-C0059,phpbb,tests/functions/make_clickable_test.php,1,190,mixed_php_html,Mixed PHP/HTML,33,,,,.postlink;.postlink-local,,Separate PHP Logic from Markup;Extract View Helper,pending
phpbb-C0060,phpbb,tests/functions/make_clickable_test.php,28,85,long_method_or_region,Long or Complex Region,15,,,,.postlink;.postlink-local,,Extract Method,pending
phpbb-C0061,phpbb,tests/functions/obtain_online_test.php,1,229,mixed_php_html_sql,SQL in Presentation Logic,2,,,phpbb_sessions,.username,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phpbb-C0062,phpbb,tests/functions_acp/insert_config_array_test.php,30,137,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0063,phpbb,tests/functions_user/delete_user_test.php,51,184,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0064,phpbb,tests/functions_user/delete_user_test.php,333,380,sql_data_access,SQL/Data Access Region,1,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0065,phpbb,tests/functions_user/group_user_attributes_test.php,23,128,long_method_or_region,Long or Complex Region,7,,,,,,Extract Method,pending
phpbb-C0066,phpbb,tests/groupposition/teampage_test.php,328,472,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0067,phpbb,tests/groupposition/teampage_test.php,493,637,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0068,phpbb,tests/log/add_test.php,52,104,sql_data_access,SQL/Data Access Region,7,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0069,phpbb,tests/log/delete_test.php,40,139,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0070,phpbb,tests/log/function_add_log_test.php,21,145,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0071,phpbb,tests/log/function_add_log_test.php,145,199,sql_data_access,SQL/Data Access Region,8,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0072,phpbb,tests/log/function_view_log_test.php,25,372,long_method_or_region,Long or Complex Region,6,,,,.username,,Extract Method,pending
phpbb-C0073,phpbb,tests/migrator/get_schema_steps_test.php,23,200,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0074,phpbb,tests/mock/cache.php,42,63,long_method_or_region,Long or Complex Region,13,,,,,,Extract Method,pending
phpbb-C0075,phpbb,tests/notification/base.php,53,151,sql_data_access,SQL/Data Access Region,3,,,phpbb_notification_types;phpbb_notifications;phpbb_user_notifications,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0076,phpbb,tests/notification/notification_test.php,104,331,sql_data_access,SQL/Data Access Region,2,,,phpbb_notification_types,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0077,phpbb,tests/notification/submit_post_base.php,50,158,long_method_or_region,Long or Complex Region,2,,,,,,Extract Method,pending
phpbb-C0078,phpbb,tests/notification/submit_post_type_topic_test.php,98,154,sql_data_access,SQL/Data Access Region,2,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0079,phpbb,tests/pagination/pagination_test.php,66,169,long_method_or_region,Long or Complex Region,19,,,,,,Extract Method,pending
phpbb-C0080,phpbb,tests/passwords/drivers_test.php,287,417,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0081,phpbb,tests/path_helper/path_helper_test.php,268,327,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
phpbb-C0082,phpbb,tests/profilefields/type_date_test.php,103,178,long_method_or_region,Long or Complex Region,11,,,,,,Extract Method,pending
phpbb-C0083,phpbb,tests/profilefields/type_string_test.php,59,237,long_method_or_region,Long or Complex Region,6,,,,,,Extract Method,pending
phpbb-C0084,phpbb,tests/request/request_var_test.php,1,275,form_handling,Request Handling Mixed With Rendering,19,var,,,,,Extract Validation Helper;Extract Method;Extract View Helper,pending
phpbb-C0085,phpbb,tests/request/request_var_test.php,127,276,long_method_or_region,Long or Complex Region,14,,,,,,Extract Method,pending
phpbb-C0086,phpbb,tests/search/common_test_case.php,18,197,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0087,phpbb,tests/search/native_test.php,44,250,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0088,phpbb,tests/session/append_sid_test.php,17,48,long_method_or_region,Long or Complex Region,16,,,,,,Extract Method,pending
phpbb-C0089,phpbb,tests/session/extract_page_test.php,23,159,long_method_or_region,Long or Complex Region,6,,,,,,Extract Method,pending
phpbb-C0090,phpbb,tests/template/template_includejs_test.php,1,109,mixed_php_html,Mixed PHP/HTML,17,,,,,,Separate PHP Logic from Markup;Extract View Helper,pending
phpbb-C0091,phpbb,tests/template/template_includejs_test.php,18,99,long_method_or_region,Long or Complex Region,16,,,,,,Extract Method,pending
phpbb-C0092,phpbb,tests/template/template_test.php,21,517,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
phpbb-C0093,phpbb,tests/template/template_test.php,649,854,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0094,phpbb,tests/test_framework/phpbb_database_test_case.php,1,320,sql_data_access,SQL/Data Access Region,26,,,INFORMATION_SCHEMA;database;this,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0095,phpbb,tests/test_framework/phpbb_database_test_case.php,151,228,sql_data_access,SQL/Data Access Region,11,,,INFORMATION_SCHEMA,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0096,phpbb,tests/test_framework/phpbb_database_test_connection_manager.php,1,652,sql_data_access,SQL/Data Access Region,79,,,USER_DEPENDENCIES;USER_SEQUENCES;USER_TABLES;USER_TRIGGERS;USER_TRIGGER_COLS;a;effect;information_schema;one;pg_stat_user_tables;sqlite_master;sqlite_sequence;sysobjects;the,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0097,phpbb,tests/test_framework/phpbb_database_test_connection_manager.php,52,177,sql_data_access,SQL/Data Access Region,22,,,the,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0098,phpbb,tests/test_framework/phpbb_database_test_connection_manager.php,191,267,long_method_or_region,Long or Complex Region,14,,,,,,Extract Method,pending
phpbb-C0099,phpbb,tests/test_framework/phpbb_database_test_connection_manager.php,267,318,sql_data_access,SQL/Data Access Region,11,,,USER_TABLES;pg_stat_user_tables;sqlite_master;sysobjects,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0100,phpbb,tests/test_framework/phpbb_database_test_connection_manager.php,330,419,sql_data_access,SQL/Data Access Region,10,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0101,phpbb,tests/test_framework/phpbb_database_test_connection_manager.php,419,479,sql_data_access,SQL/Data Access Region,3,,,a,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0102,phpbb,tests/test_framework/phpbb_database_test_connection_manager.php,479,524,sql_data_access,SQL/Data Access Region,6,,,USER_SEQUENCES;information_schema,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0103,phpbb,tests/test_framework/phpbb_database_test_connection_manager.php,545,653,sql_data_access,SQL/Data Access Region,14,,,USER_DEPENDENCIES;USER_SEQUENCES;USER_TRIGGERS;USER_TRIGGER_COLS;effect;information_schema;one;sqlite_sequence;the,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0104,phpbb,tests/test_framework/phpbb_functional_test_case.php,1,1307,sql_data_access,SQL/Data Access Region,103,,,a;phpBB;query,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0105,phpbb,tests/test_framework/phpbb_functional_test_case.php,78,117,sql_data_access,SQL/Data Access Region,4,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0106,phpbb,tests/test_framework/phpbb_functional_test_case.php,272,411,long_method_or_region,Long or Complex Region,9,,,,,,Extract Method,pending
phpbb-C0107,phpbb,tests/test_framework/phpbb_functional_test_case.php,455,529,sql_data_access,SQL/Data Access Region,3,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0108,phpbb,tests/test_framework/phpbb_functional_test_case.php,617,659,sql_data_access,SQL/Data Access Region,3,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0109,phpbb,tests/test_framework/phpbb_functional_test_case.php,659,704,sql_data_access,SQL/Data Access Region,3,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0110,phpbb,tests/test_framework/phpbb_test_case_helpers.php,109,213,long_method_or_region,Long or Complex Region,21,,,,,,Extract Method,pending
phpbb-C0111,phpbb,tests/test_framework/phpbb_test_case_helpers.php,213,268,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
phpbb-C0112,phpbb,tests/test_framework/phpbb_test_case_helpers.php,304,579,long_method_or_region,Long or Complex Region,27,,,,,,Extract Method,pending
phpbb-C0113,phpbb,tests/test_framework/phpbb_ui_test_case.php,1,593,sql_data_access,SQL/Data Access Region,47,,,the,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0114,phpbb,tests/test_framework/phpbb_ui_test_case.php,51,98,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
phpbb-C0115,phpbb,tests/test_framework/phpbb_ui_test_case.php,173,302,long_method_or_region,Long or Complex Region,8,,,,,,Extract Method,pending
phpbb-C0116,phpbb,tests/text_processing/generate_text_for_storage_test.php,52,179,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0117,phpbb,tests/text_processing/make_clickable_test.php,1,150,mixed_php_html,Mixed PHP/HTML,25,,,,,,Separate PHP Logic from Markup;Extract View Helper,pending
phpbb-C0118,phpbb,tests/text_processing/make_clickable_test.php,16,96,long_method_or_region,Long or Complex Region,16,,,,,,Extract Method,pending
phpbb-C0119,phpbb,tests/text_processing/message_parser_test.php,208,508,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0120,phpbb,tests/tree/nestedset_forum_base.php,67,127,sql_data_access,SQL/Data Access Region,4,,,a;phpbb_forums,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0121,phpbb,tests/tree/nestedset_forum_move_test.php,18,125,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0122,phpbb,tests/tree/nestedset_forum_move_test.php,229,369,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0123,phpbb,tests/tree/nestedset_forum_move_test.php,418,525,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0124,phpbb,tests/tree/nestedset_forum_test.php,50,115,sql_data_access,SQL/Data Access Region,1,,,phpbb_forums,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0125,phpbb,tests/version/version_helper_remote_test.php,51,198,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0126,phpbb,tests/version/version_test.php,87,199,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0127,phpbb,tests/version/version_test.php,345,520,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0128,phpbb,tests/version/version_test.php,550,815,long_method_or_region,Long or Complex Region,5,,,,,,Extract Method,pending
phpbb-C0129,phpbb,tests/text_formatter/s9e/bbcode_merger_test.php,1,280,mixed_php_html,Mixed PHP/HTML,25,,,,.prime_bbcode_note;.prime_bbcode_note_spur;.prime_bbcode_note_text;.spoiler,,Separate PHP Logic from Markup;Extract View Helper,pending
phpbb-C0130,phpbb,tests/text_formatter/s9e/bbcode_merger_test.php,37,281,long_method_or_region,Long or Complex Region,24,,,,.prime_bbcode_note;.prime_bbcode_note_spur;.prime_bbcode_note_text;.spoiler,,Extract Method,pending
phpbb-C0131,phpbb,tests/text_formatter/s9e/default_formatting_test.php,1,313,mixed_php_html_sql,SQL in Presentation Logic,17,,,make_clickable_test;phpbb_textformatter_s9e_utils_test;textual,#123;.codebox;.emoji;.inline-attachment;.postimage;.postlink;.responsive-hide;.smilies;.uncited,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phpbb-C0132,phpbb,tests/text_formatter/s9e/default_formatting_test.php,48,314,sql_data_access,SQL/Data Access Region,15,,,make_clickable_test;phpbb_textformatter_s9e_utils_test;textual,#123;.codebox;.emoji;.inline-attachment;.postimage;.postlink;.responsive-hide;.smilies;.uncited,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0133,phpbb,tests/text_formatter/s9e/renderer_test.php,146,271,long_method_or_region,Long or Complex Region,2,,,,.postimage;.postlink;.smilies,,Extract Method,pending
phpbb-C0134,phpbb,tests/text_formatter/s9e/utils_test.php,123,235,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0135,phpbb,phpBB/develop/add_permissions.php,1,415,sql_data_access,SQL/Data Access Region,44,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0136,phpbb,phpBB/develop/add_permissions.php,242,416,sql_data_access,SQL/Data Access Region,33,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0137,phpbb,phpBB/develop/adjust_avatars.php,1,145,sql_data_access,SQL/Data Access Region,13,,,your,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0138,phpbb,phpBB/develop/adjust_bbcodes.php,1,172,sql_data_access,SQL/Data Access Region,13,,,pms;posts;your,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0139,phpbb,phpBB/develop/adjust_magic_urls.php,1,124,mixed_php_html_sql,SQL in Presentation Logic,13,,,your,.postlink;.postlink-local,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phpbb-C0140,phpbb,phpBB/develop/adjust_sizes.php,1,130,sql_data_access,SQL/Data Access Region,17,,,pc;your,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0141,phpbb,phpBB/develop/adjust_sizes.php,27,131,sql_data_access,SQL/Data Access Region,13,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0142,phpbb,phpBB/develop/adjust_smilies.php,1,128,sql_data_access,SQL/Data Access Region,12,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0143,phpbb,phpBB/develop/adjust_uids.php,1,128,sql_data_access,SQL/Data Access Region,16,,,your,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0144,phpbb,phpBB/develop/benchmark.php,1,452,mixed_php_html_sql,SQL in Presentation Logic,40,,,groups;posts;topics;user_group;users,,<?php echo $PHP_SELF?>,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phpbb-C0145,phpbb,phpBB/develop/benchmark.php,251,332,sql_data_access,SQL/Data Access Region,8,,,posts,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0146,phpbb,phpBB/develop/benchmark.php,363,453,sql_data_access,SQL/Data Access Region,6,,,groups;user_group;users,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0147,phpbb,phpBB/develop/check_flash_bbcodes.php,1,170,sql_data_access,SQL/Data Access Region,22,,,php;support,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0148,phpbb,phpBB/develop/create_search_index.php,1,140,sql_data_access,SQL/Data Access Region,21,,,the,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0149,phpbb,phpBB/develop/create_variable_overview.php,1,545,mixed_php_html,Mixed PHP/HTML,73,,,,.copyright;.gen;.maintitle,,Separate PHP Logic from Markup;Extract View Helper,pending
phpbb-C0150,phpbb,phpBB/develop/export_events_for_wiki.php,53,139,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
phpbb-C0151,phpbb,phpBB/develop/fill.php,1,189,mixed_php_html_sql,SQL in Presentation Logic,26,explain,,,,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phpbb-C0152,phpbb,phpBB/develop/generate_utf_confusables.php,53,179,long_method_or_region,Long or Complex Region,17,,,,,,Extract Method,pending
phpbb-C0153,phpbb,phpBB/develop/imageset_to_css.php,1,374,form_handling,Request Handling Mixed With Rendering,57,download,,,#code-,,Extract Validation Helper;Extract Method;Extract View Helper,pending
phpbb-C0154,phpbb,phpBB/develop/imageset_to_css.php,154,216,long_method_or_region,Long or Complex Region,14,,,,,,Extract Method,pending
phpbb-C0155,phpbb,phpBB/develop/imageset_to_css.php,296,375,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
phpbb-C0156,phpbb,phpBB/develop/lang_duplicates.php,1,141,mixed_php_html,Mixed PHP/HTML,25,,,,,,Separate PHP Logic from Markup;Extract View Helper,pending
phpbb-C0157,phpbb,phpBB/develop/merge_post_tables.php,1,199,sql_data_access,SQL/Data Access Region,27,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0158,phpbb,phpBB/develop/namespacify.php,28,195,long_method_or_region,Long or Complex Region,36,,,,,,Extract Method,pending
phpbb-C0159,phpbb,phpBB/develop/repair_bots.php,95,150,sql_data_access,SQL/Data Access Region,4,,,,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0160,phpbb,phpBB/develop/search_fill.php,1,127,mixed_php_html_sql,SQL in Presentation Logic,13,,,posting,,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
